"","x"
"1",129
"2",273
"3",380
"4",542
"5",545
"6",753
"7",781
"8",862
"9",1016
"10",1140
"11",1333
"12",1660
"13",1661
"14",1732
"15",1965
"16",2010
"17",2099
"18",2147
"19",2556
"20",2610
"21",2686
"22",2823
"23",2890
"24",2897
"25",3017
"26",3074
"27",3094
"28",3144
"29",3307
"30",3321
"31",3591
"32",3741
"33",4108
"34",4170
"35",4186
"36",4333
"37",4555
"38",4626
"39",4628
"40",4684
"41",4696
"42",4730
"43",4879
"44",4894
"45",4903
"46",4945
"47",4958
"48",4961
"49",4983
"50",4992
"51",5001
"52",5027
"53",5033
"54",5085
"55",5185
"56",5266
"57",5364
"58",5381
"59",5398
"60",5535
"61",5628
"62",5656
"63",5749
"64",5771
"65",6040
"66",6082
"67",6381
"68",6420
"69",6434
"70",6483
"71",6558
"72",6562
"73",6577
"74",6626
"75",6768
"76",6829
"77",7199
"78",7350
"79",7501
"80",7582
"81",7624
"82",7649
"83",7709
"84",7737
"85",7764
"86",7766
"87",7817
"88",7832
"89",7988
"90",8002
"91",8031
"92",8035
"93",8044
"94",8057
"95",8102
"96",8130
"97",8145
"98",8240
"99",8243
"100",8673
"101",8714
"102",8722
"103",8768
"104",8777
"105",8793
"106",8796
"107",8798
"108",8807
"109",8809
"110",8853
"111",8878
"112",8967
"113",9029
"114",9104
"115",9138
"116",9207
"117",9348
"118",9442
"119",9456
"120",9526
"121",9567
"122",9622
"123",9676
"124",9738
"125",9880
"126",10695
"127",10724
"128",10812
"129",10857
"130",10883
"131",11167
"132",11181
"133",11236
"134",11281
"135",11415
"136",11659
"137",11743
"138",11927
"139",11993
"140",12093
"141",12097
"142",12154
"143",12444
"144",12588
"145",12705
"146",12813
"147",12836
"148",12960
"149",13242
"150",13291
"151",13346
"152",13484
"153",13526
"154",13598
"155",13600
"156",13656
"157",13657
"158",13667
"159",13796
"160",13915
"161",14044
"162",14070
"163",14074
"164",14156
"165",14194
"166",14214
"167",14234
"168",14257
"169",14259
"170",14266
"171",14268
"172",14269
"173",14329
"174",14407
"175",14486
"176",14535
"177",14546
"178",14577
"179",14578
"180",14689
"181",14695
"182",14709
"183",14827
"184",14865
"185",14932
"186",15003
"187",15043
"188",15051
"189",15129
"190",15388
"191",15566
"192",16099
"193",16103
"194",16199
"195",16239
"196",16358
"197",16557
"198",16564
"199",16625
"200",16684
"201",16692
"202",16724
"203",16755
"204",16996
"205",17124
"206",17217
"207",17428
"208",17436
"209",17479
"210",17567
"211",17582
"212",17662
"213",17722
"214",17779
"215",17882
"216",18005
"217",18084
"218",18095
"219",18216
"220",18219
"221",18266
"222",18402
"223",18593
"224",18844
"225",18919
"226",18970
"227",18971
"228",19053
"229",19106
"230",19212
"231",19213
"232",19279
"233",19310
"234",19316
"235",19322
"236",19388
"237",19457
"238",19520
"239",19602
"240",19683
"241",19770
"242",19799
"243",19860
"244",19875
"245",19947
"246",20200
"247",20252
"248",20327
"249",20392
"250",20393
"251",20482
"252",20530
"253",20839
"254",20895
"255",20940
"256",20950
"257",20969
"258",20979
"259",21039
"260",21047
"261",21063
"262",21074
"263",21115
"264",21174
"265",21333
"266",21382
"267",21395
"268",21412
"269",21423
"270",21488
"271",21528
"272",21529
"273",21557
"274",21576
"275",21852
"276",21945
"277",22059
"278",22218
"279",22228
"280",22299
"281",22340
"282",22417
"283",22670
"284",22997
"285",23092
"286",23286
"287",23293
"288",23342
"289",23344
"290",23384
"291",23671
"292",23786
"293",23853
"294",23984
"295",24010
"296",24014
"297",24047
"298",24049
"299",24103
"300",24177
"301",24190
"302",24360
"303",24596
"304",24641
"305",24758
"306",24861
"307",24978
"308",25043
"309",25072
"310",25081
"311",25108
"312",25148
"313",25153
"314",25231
"315",25382
"316",25448
"317",25634
"318",25706
"319",25749
"320",25827
"321",25833
"322",25890
"323",26015
"324",26017
"325",26203
"326",26243
