Genes,Gene Count
"(3, 4, 20, 23, 27, 35, 41)",7
"(27, 33, 35, 37, 41, 49)",18
"(23, 27, 33, 35, 37, 41, 49)",7
"(0, 2, 27, 33, 35, 37, 41, 49)",8
"(8, 13, 27, 28, 35, 37, 41, 49)",8
"(24, 27, 33, 35, 37, 41, 49)",7
"(0, 2, 8, 13, 26, 48)",24
"(3, 4, 23, 27, 35, 37, 41, 49)",8
"(3, 4, 23, 27, 35, 37, 41)",7
"(0, 2, 8, 13, 28, 35, 37, 41, 49)",9
"(20, 27, 33, 35, 37, 41, 49)",7
"(27, 28, 33, 35, 37, 41, 49)",7
"(3, 4, 20, 33, 35, 37, 41, 49)",8
"(25, 31, 36, 42, 45)",25
"(29, 32, 39, 43, 46)",25
"(6, 11, 15, 18, 22)",25
"(1, 9, 12, 16, 19)",25
"(5, 10, 14, 17, 21)",25
"(30, 34, 40, 44, 47)",25
