PARTICIPANT_A,PARTICIPANT_B,MI,H_A,H_B,SU
5,17,1.6865963291580477,2.66252955013599,2.60338637012308,0.6405709299950506
6,11,1.5660174436282492,2.6450167668683755,2.606413783122724,0.5964155590445364
5,14,1.3407610238219398,2.66252955013599,2.235957491180731,0.5474184222651495
11,18,1.3316076637246126,2.606413783122724,2.3157504975660665,0.5410659164501808
1,19,1.3867103951383235,2.663045984540795,2.4764967586979685,0.5396240344387004
6,18,1.309347340934492,2.6450167668683755,2.3157504975660665,0.5278809793483693
14,17,1.2338225698279237,2.235957491180731,2.60338637012308,0.5099131639285943
8,13,1.2392668242874278,2.3698083836434574,2.529228244936668,0.5059226612259893
1,16,1.1465091427805252,2.663045984540795,2.036971211117537,0.4878744460082485
6,15,1.1684048812845569,2.6450167668683755,2.407995436930741,0.4624587608975452
1,9,1.0595976810011447,2.663045984540795,2.06704802530934,0.4480239415092371
1,12,1.0243362823695463,2.663045984540795,2.061188127889987,0.4336517869316556
5,10,1.0192076652809092,2.66252955013599,2.056303780296952,0.4319744283858397
10,17,0.9757105146775072,2.056303780296952,2.60338637012308,0.4187877232951016
29,32,0.9721883631838466,2.481840791363644,2.208747525529466,0.4145272607627999
17,21,0.9868514234220296,2.60338637012308,2.171220280175014,0.4133749628821956
26,48,0.94277782054982,2.3125612494878265,2.2838051086474382,0.4102274479844999
12,19,0.9302885392995232,2.061188127889987,2.4764967586979685,0.4100278280888031
5,21,0.984937796157456,2.66252955013599,2.171220280175014,0.4075253501872211
15,18,0.9547541363853524,2.407995436930741,2.3157504975660665,0.4042360235392535
9,19,0.8604878285119644,2.06704802530934,2.4764967586979685,0.3787737854112369
6,22,0.8853361495067301,2.6450167668683755,2.0394108377334605,0.3779911759707859
25,31,0.8732233562635507,2.3712774683225484,2.342998725264747,0.3704591417241837
11,22,0.8538001479004611,2.606413783122724,2.0394108377334605,0.367555909909967
29,46,0.8254879913244724,2.481840791363644,2.057547442033673,0.3637001062174716
2,13,0.8212605093975626,2.048392602711086,2.529228244936668,0.3588154356731285
