"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",-75.6107109783781
"27",0
"28",0
"29",0
"30",102.926544956266
"31",81.7465457373582
"32",-50.1981453052238
"33",59.9572719006613
"34",0
"35",62.2149170878999
"36",0
"37",-24.2248110603543
"38",0
"39",0
"40",38.7259435578087
"41",34.5434349238939
"42",0
"43",-31.4521795077894
"44",17.0947994977748
"45",24.667882129095
"46",-27.5551447998645
"47",32.7522016702806
"48",14.9091241960069
"49",0
"50",0
