"config_id","family","n_genes","d1","d2","c","p_target","p_noise","target_actual_rate","noise_actual_rate","total_edges","edge_groups","gsn_total_groups","input_dir","metadata_path"
"baseline_current","baseline","50","10","5","5","0.9","0.7","0.9333333333333333","0.7315789473684211","195","195","86","<PARAMETER_SET_INPUT_ROOT>\baseline_current","<PARAMETER_SET_INPUT_ROOT>\baseline_current\metadata.json"
"density_60_40","density","50","10","5","5","0.6","0.4","0.7","0.4368421052631579","125","125","58","<PARAMETER_SET_INPUT_ROOT>\density_60_40","<PARAMETER_SET_INPUT_ROOT>\density_60_40\metadata.json"
"density_70_30","density","50","10","5","5","0.7","0.3","0.7833333333333333","0.3526315789473684","114","114","42","<PARAMETER_SET_INPUT_ROOT>\density_70_30","<PARAMETER_SET_INPUT_ROOT>\density_70_30\metadata.json"
"density_80_20","density","50","10","5","5","0.8","0.2","0.8333333333333334","0.19473684210526315","87","87","33","<PARAMETER_SET_INPUT_ROOT>\density_80_20","<PARAMETER_SET_INPUT_ROOT>\density_80_20\metadata.json"
"density_90_10","density","50","10","5","5","0.9","0.1","0.9333333333333333","0.12105263157894737","79","79","24","<PARAMETER_SET_INPUT_ROOT>\density_90_10","<PARAMETER_SET_INPUT_ROOT>\density_90_10\metadata.json"
"noise_c10_current_density","noise_strength","50","10","5","10","0.9","0.7","0.9333333333333333","0.7315789473684211","195","195","86","<PARAMETER_SET_INPUT_ROOT>\noise_c10_current_density","<PARAMETER_SET_INPUT_ROOT>\noise_c10_current_density\metadata.json"
"noise_c20_current_density","noise_strength","50","10","5","20","0.9","0.7","0.9333333333333333","0.7315789473684211","195","195","86","<PARAMETER_SET_INPUT_ROOT>\noise_c20_current_density","<PARAMETER_SET_INPUT_ROOT>\noise_c20_current_density\metadata.json"
"genes_100_current_density","gene_count","100","10","5","5","0.9","0.7","0.9333333333333333","0.7073170731707317","491","491","297","<PARAMETER_SET_INPUT_ROOT>\genes_100_current_density","<PARAMETER_SET_INPUT_ROOT>\genes_100_current_density\metadata.json"
"genes_1000_current_density","gene_count","1000","10","5","5","0.9","0.7","0.9333333333333333","0.7069285324604474","6535","6535","4046","<PARAMETER_SET_INPUT_ROOT>\genes_1000_current_density","<PARAMETER_SET_INPUT_ROOT>\genes_1000_current_density\metadata.json"
"genes_10000_current_density","gene_count","10000","10","5","5","0.9","0.7","0.9333333333333333","0.702065177203824","66517","66517","42044","<PARAMETER_SET_INPUT_ROOT>\genes_10000_current_density","<PARAMETER_SET_INPUT_ROOT>\genes_10000_current_density\metadata.json"
